Énumération des familles :
http://users.polytech.unice.fr/~lingrand/MarchingCubes/algo.html

Cube 64 : 1, 9, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 65 : 1, 9, 0, 7, 6, 11, -1, -1, -1, -1, -1, -1
Cube 66 : 5, 10, 6, 1, 9, 0, -1, -1, -1, -1, -1, -1
Cube 67 : 7, 11, 5, 11, 5, 10, 1, 9, 0, -1, -1, -1
Cube 68 : 4, 5, 0, 0, 5, 1, -1, -1, -1, -1, -1, -1
Cube 69 : 4, 5, 0, 0, 5, 1, 7, 6, 11, -1, -1, -1
Cube 70 : 6, 4, 0, 6, 0, 1, 6, 1, 10, -1, -1, -1
Cube 71 : 7, 11, 10, 7, 10, 0, 10, 0, 1, 7, 0, 4
Cube 72 : 9, 0, 1, 4, 7, 8, -1, -1, -1, -1, -1, -1
Cube 73 : 8, 4, 11, 4, 11, 6, 1, 9, 0, -1, -1, -1
Cube 74 : 1, 9, 0, 6, 5, 10, 7, 8, 4, -1, -1, -1
Cube 75 : 1, 9, 0, 11, 10, 8, 10, 8, 4, 10, 4, 5
Cube 76 : 7, 5, 1, 7, 1, 0, 7, 0, 8, -1, -1, -1
Cube 77 : 8, 11, 0, 0, 5, 1, 11, 6, 5, 11, 5, 0
Cube 78 : 8, 0, 7, 0, 7, 1, 7, 1, 6, 1, 6, 10
Cube 79 : 11, 8, 10, 8, 0, 10, 10, 0, 1, -1, -1, -1
Cube 80 : 11, 2, 3, 1, 9, 0, -1, -1, -1, -1, -1, -1
Cube 81 : 7, 6, 3, 6, 3, 2, 1, 9, 0, -1, -1, -1
Cube 82 : 3, 2, 11, 10, 6, 5, 1, 9, 0, -1, -1, -1
Cube 83 : 1, 9, 0, 3, 7, 5, 3, 5, 2, 5, 2, 10
Cube 84 : 4, 5, 0, 0, 5, 1, 11, 3, 2, -1, -1, -1
Cube 85 : 7, 6, 3, 6, 3, 2, 4, 5, 0, 5, 0, 1
Cube 86 : 11, 3, 2, 6, 4, 0, 6, 0, 1, 6, 1, 10
Cube 87 : 2, 10, 1, 7, 3, 4, 4, 3, 0, -1, -1, -1
Cube 88 : 7, 8, 4, 11, 3, 2, 1, 9, 0, -1, -1, -1
Cube 89 : 1, 9, 0, 4, 6, 2, 4, 2, 8, 2, 8, 3
Cube 90 : 7, 8, 4, 6, 5, 10, 11, 3, 2, 1, 9, 0
Cube 91 : 3, 8, 0, 4, 5, 9, 2, 10, 1, -1, -1, -1
Cube 92 : 11, 3, 2, 7, 5, 1, 1, 7, 8, 1, 8, 0
Cube 93 : 3, 8, 0, 2, 6, 5, 2, 5, 1, -1, -1, -1
Cube 94 : 7, 6, 11, 3, 8, 0, 2, 10, 1, -1, -1, -1
Cube 95 : 2, 10, 1, 3, 0, 8, -1, -1, -1, -1, -1, -1
Cube 96 : 9, 0, 2, 9, 2, 10, -1, -1, -1, -1, -1, -1
Cube 97 : 9, 0, 2, 9, 2, 10, 11, 7, 6, -1, -1, -1
Cube 98 : 6, 2, 0, 6, 0, 5, 0, 5, 9, -1, -1, -1
Cube 99 : 7, 11, 2, 7, 2, 9, 2, 9, 0, 7, 9, 5
Cube 100 : 4, 0, 2, 2, 4, 5, 2, 5, 10, -1, -1, -1
Cube 101 : 4, 0, 2, 2, 4, 5, 2, 5, 10, 11, 7, 6
Cube 102 : 4, 6, 0, 6, 0, 2, -1, -1, -1, -1, -1, -1
Cube 103 : 4, 0, 2, 4, 2, 7, 2, 7, 11, -1, -1, -1
Cube 104 : 9, 0, 10, 0, 10, 2, 7, 8, 4, -1, -1, -1
Cube 105 : 8, 4, 6, 8, 6, 11, 9, 0, 10, 0, 10, 2
Cube 106 : 7, 8, 4, 6, 2, 0, 6, 0, 9, 6, 9, 5
Cube 107 : 11, 8, 0, 11, 0, 2, 4, 5, 9, -1, -1, -1
Cube 108 : 7, 8, 0, 7, 0, 10, 0, 10, 2, 7, 10, 5
Cube 109 : 11, 8, 2, 2, 8, 0, 10, 6, 5, -1, -1, -1
Cube 110 : 6, 2, 0, 6, 0, 7, 0, 7, 8, -1, -1, -1
Cube 111 : 11, 8, 2, 8, 2, 0, -1, -1, -1, -1, -1, -1
Cube 112 : 11, 10, 9, 11, 9, 0, 11, 0, 3, -1, -1, -1
Cube 113 : 0, 9, 3, 3, 9, 6, 9, 6, 10, 3, 6, 7
Cube 114 : 5, 6, 9, 6, 9, 0, 6, 0, 11, 11, 0, 3
Cube 115 : 1, 9, 0, 3, 7, 5, 3, 5, 2, 5, 2, 10
Cube 116 : 4, 5, 10, 4, 10, 3, 10, 11, 3, 3, 4, 0
Cube 117 : 7, 3, 0, 7, 0, 4, 6, 5, 10, -1, -1, -1
Cube 118 : 6, 4, 0, 6, 0, 3, 6, 3, 11, -1, -1, -1
Cube 119 : 7, 0, 3, 7, 0, 4, -1, -1, -1, -1, -1, -1
Cube 120 : 10, 0, 2, 10, 9, 0, 7, 8, 4, -1, -1, -1
Cube 121 : 4, 11, 6, 4, 11, 8, 9, 2, 10, 9, 2, 0
Cube 122 : 11, 7, 6, 4, 5, 9, 3, 8, 0, -1, -1, -1
Cube 123 : 3, 8, 0, 4, 5, 9, -1, -1, -1, -1, -1, -1
Cube 124 : 3, 8, 0, 5, 11, 7, 5, 11, 10, -1, -1, -1
Cube 125 : 7, 2, 6, 7, 2, 3, 0, 5, 4, 0, 5, 1
Cube 126 : 7, 6, 11, 8, 3, 0, -1, -1, -1, -1, -1, -1
Cube 127 : 3, 0, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1

